"Index","Ticket","FixVersion"
"508","BOOKKEEPER-782","4.3.0"
"509","BOOKKEEPER-781","4.3.0"
"510","BOOKKEEPER-780","4.3.0"
"511","BOOKKEEPER-779","4.3.0"
"512","BOOKKEEPER-778","4.3.0"
"513","BOOKKEEPER-777","4.3.0"
"514","BOOKKEEPER-776","4.3.0"
"515","BOOKKEEPER-775","4.3.0"
"516","BOOKKEEPER-774","4.3.0"
"517","BOOKKEEPER-773","4.3.0"
"518","BOOKKEEPER-768","4.3.0"
"519","BOOKKEEPER-767","4.3.0"
"520","BOOKKEEPER-767","4.2.3"
"521","BOOKKEEPER-766","4.3.0"
"522","BOOKKEEPER-766","4.2.3"
"523","BOOKKEEPER-765","4.3.0"
"524","BOOKKEEPER-765","4.2.3"
"525","BOOKKEEPER-763","4.3.0"
"526","BOOKKEEPER-758","4.3.0"
"527","BOOKKEEPER-756","4.3.0"
"528","BOOKKEEPER-755","4.3.0"
"529","BOOKKEEPER-755","4.2.3"
"530","BOOKKEEPER-751","4.3.0"
"531","BOOKKEEPER-751","4.2.3"
"532","BOOKKEEPER-750","4.3.0"
"533","BOOKKEEPER-750","4.2.3"
"534","BOOKKEEPER-747","4.3.0"
"535","BOOKKEEPER-747","4.2.3"
"536","BOOKKEEPER-746","4.3.0"
"537","BOOKKEEPER-746","4.2.3"
"538","BOOKKEEPER-745","4.3.0"
"539","BOOKKEEPER-745","4.2.3"
"540","BOOKKEEPER-744","4.3.0"
"541","BOOKKEEPER-744","4.2.3"
"542","BOOKKEEPER-743","4.3.0"
"543","BOOKKEEPER-743","4.2.3"
"544","BOOKKEEPER-742","4.3.0"
"545","BOOKKEEPER-742","4.2.3"
"546","BOOKKEEPER-740","4.3.0"
"547","BOOKKEEPER-739","4.3.0"
"548","BOOKKEEPER-736","4.3.0"
"549","BOOKKEEPER-732","4.3.0"
"550","BOOKKEEPER-731","4.3.0"
"551","BOOKKEEPER-730","4.3.0"
"552","BOOKKEEPER-730","4.2.3"
"553","BOOKKEEPER-729","4.3.0"
