"Ticket","FixVersion","AffectedVersion"
"TAJO-635","0.9.0","0.8.0"
"TAJO-630","0.8.0","0.8.0"
"TAJO-630","0.9.0","0.8.0"
"TAJO-628","0.8.0","0.8.0"
"TAJO-628","0.9.0","0.8.0"
"TAJO-620","0.8.0","0.8.0"
"TAJO-620","0.9.0","0.8.0"
"TAJO-606","0.8.0","0.8.0"
"TAJO-594","0.8.0","0.8.0"
"TAJO-590","0.8.0","0.8.0"
"TAJO-590","0.9.0","0.8.0"
"TAJO-588","0.8.0","0.8.0"
"TAJO-586","0.8.0","0.8.0"
"TAJO-582","0.8.0","0.8.0"
"TAJO-575","0.8.0","0.8.0"
"TAJO-563","0.8.0","0.8.0"
"TAJO-563","0.9.0","0.8.0"
"TAJO-558","0.8.0","0.8.0"
"TAJO-556","0.8.0","0.8.0"
"TAJO-544","0.8.0","0.8.0"
"TAJO-537","0.8.0","0.8.0"
"TAJO-522","0.8.0","0.8.0"
"TAJO-506","0.8.0","0.8.0"
"TAJO-503","0.8.0","0.8.0"
"TAJO-502","0.8.0","0.8.0"
"TAJO-496","0.8.0","0.8.0"
"TAJO-490","0.8.0","0.8.0"
"TAJO-469","0.8.0","0.8.0"
"TAJO-450","0.8.0","0.8.0"
"TAJO-443","0.8.0","0.8.0"
"TAJO-431","0.8.0","0.8.0"
"TAJO-428","0.8.0","0.8.0"
"TAJO-427","0.8.0","0.8.0"
"TAJO-427","0.9.0","0.8.0"
"TAJO-426","0.8.0","0.8.0"
"TAJO-422","0.8.0","0.8.0"
"TAJO-403","0.8.0","0.8.0"
"TAJO-389","0.8.0","0.2-incubating"
"TAJO-332","0.8.0","0.2-incubating"
"TAJO-321","0.8.0","0.8.0"
"TAJO-320","0.8.0","0.8.0"
"TAJO-295","0.8.0","0.2-incubating"
"TAJO-293","0.8.0","0.2-incubating"
"TAJO-292","0.8.0","0.2-incubating"
"TAJO-277","0.2-incubating","0.2-incubating"
"TAJO-277","0.8.0","0.2-incubating"
"TAJO-264","0.2-incubating","0.2-incubating"
"TAJO-262","0.2-incubating","0.2-incubating"
"TAJO-241","0.2-incubating","0.2-incubating"
"TAJO-198","0.2-incubating","0.2-incubating"
"TAJO-158","0.2-incubating","0.2-incubating"
"TAJO-103","0.2-incubating","0.2-incubating"
"TAJO-41","0.2-incubating","0.2-incubating"
"TAJO-21","0.2-incubating","0.2-incubating"
