"Index","Ticket","FixVersion","AffectedVersion"
"513","TAJO-2072","0.11.1","0.11.1"
"514","TAJO-2036","0.12.0","0.11.1"
"515","TAJO-2036","0.11.1","0.11.1"
"516","TAJO-2032","0.12.0","0.11.1"
"517","TAJO-2032","0.11.1","0.11.1"
"518","TAJO-2001","0.12.0","0.11.1"
"519","TAJO-2001","0.11.1","0.11.1"
"520","TAJO-2159","0.12.0","0.11.2"
"521","TAJO-2156","0.12.0","0.11.2"
"522","TAJO-2155","0.12.0","0.11.2"
"523","TAJO-2145","0.12.0","0.11.2"
"524","TAJO-2145","0.11.3","0.11.2"
"525","TAJO-2125","0.12.0","0.11.2"
"526","TAJO-2085","0.12.0","0.11.2"
"527","TAJO-2085","0.11.2","0.11.2"
"528","TAJO-2185","0.12.0","0.11.3"
"529","TAJO-2177","0.12.0","0.11.3"
"530","TAJO-2177","0.11.4","0.11.3"
"531","TAJO-2176","0.12.0","0.11.3"
"532","TAJO-2160","0.12.0","0.11.3"
"533","TAJO-2158","0.12.0","0.11.3"
"534","TAJO-2029","0.11.1","0.11.1"
"535","TAJO-1989","0.11.1","0.11.1"
"536","TAJO-1544","0.11.1","0.11.1"
"537","TAJO-2093","0.11.2","0.12.0"
"538","TAJO-2162","0.11.4","0.11.3"
"539","TAJO-1420","0.13.0","0.10.0"
"540","TAJO-2141","0.13.0","0.11.0"
"541","TAJO-1925","0.13.0","0.11.0"
"542","TAJO-1718","0.13.0","0.10.1"
"543","TAJO-1891","0.13.0","0.12.0"
"544","TAJO-2147","0.13.0","0.11.3"
