"Index","Ticket","FixVersion"
"336","TAJO-653","0.9.0"
"337","TAJO-652","0.8.0"
"338","TAJO-652","0.9.0"
"339","TAJO-651","0.8.0"
"340","TAJO-651","0.9.0"
"341","TAJO-650","0.8.0"
"342","TAJO-650","0.9.0"
"343","TAJO-647","0.8.0"
"344","TAJO-647","0.9.0"
"345","TAJO-646","0.8.0"
"346","TAJO-645","0.8.0"
"347","TAJO-645","0.9.0"
"348","TAJO-644","0.8.0"
"349","TAJO-644","0.9.0"
"350","TAJO-642","0.8.0"
"351","TAJO-642","0.9.0"
"352","TAJO-641","0.8.0"
"353","TAJO-641","0.9.0"
"354","TAJO-640","0.8.0"
"355","TAJO-640","0.9.0"
"356","TAJO-638","0.8.0"
"357","TAJO-638","0.9.0"
"358","TAJO-635","0.8.0"
"359","TAJO-635","0.9.0"
"360","TAJO-634","0.8.0"
"361","TAJO-634","0.9.0"
"362","TAJO-632","0.8.0"
"363","TAJO-632","0.9.0"
"364","TAJO-630","0.8.0"
"365","TAJO-630","0.9.0"
"366","TAJO-628","0.8.0"
"367","TAJO-628","0.9.0"
"368","TAJO-622","0.8.0"
"369","TAJO-621","0.8.0"
"370","TAJO-621","0.9.0"
"371","TAJO-620","0.8.0"
"372","TAJO-620","0.9.0"
"373","TAJO-619","0.8.0"
"374","TAJO-619","0.9.0"
"375","TAJO-616","0.8.0"
"376","TAJO-616","0.9.0"
"377","TAJO-615","0.8.0"
"378","TAJO-615","0.9.0"
"379","TAJO-614","0.8.0"
"380","TAJO-614","0.9.0"
"381","TAJO-610","0.8.0"
"382","TAJO-609","0.8.0"
"383","TAJO-608","0.8.0"
"384","TAJO-607","0.8.0"
"385","TAJO-606","0.8.0"
"386","TAJO-601","0.8.0"
"387","TAJO-598","0.8.0"
"388","TAJO-595","0.8.0"
"389","TAJO-594","0.8.0"
"390","TAJO-593","0.8.0"
"391","TAJO-592","0.8.0"
"392","TAJO-590","0.8.0"
"393","TAJO-590","0.9.0"
"394","TAJO-589","0.8.0"
"395","TAJO-589","0.9.0"
"396","TAJO-588","0.8.0"
"397","TAJO-586","0.8.0"
"398","TAJO-584","0.8.0"
"399","TAJO-583","0.8.0"
"400","TAJO-582","0.8.0"
"401","TAJO-581","0.8.0"
"402","TAJO-580","0.8.0"
"403","TAJO-578","0.8.0"
"404","TAJO-577","0.8.0"
"405","TAJO-576","0.8.0"
"406","TAJO-575","0.8.0"
"407","TAJO-574","0.8.0"
"408","TAJO-573","0.8.0"
"409","TAJO-570","0.8.0"
"410","TAJO-569","0.8.0"
"411","TAJO-568","0.8.0"
"412","TAJO-567","0.8.0"
"413","TAJO-566","0.8.0"
"414","TAJO-565","0.8.0"
"415","TAJO-564","0.8.0"
"416","TAJO-563","0.8.0"
"417","TAJO-563","0.9.0"
"418","TAJO-562","0.8.0"
"419","TAJO-561","0.8.0"
"420","TAJO-560","0.8.0"
"421","TAJO-559","0.8.0"
"422","TAJO-558","0.8.0"
"423","TAJO-557","0.8.0"
"424","TAJO-556","0.8.0"
"425","TAJO-553","0.8.0"
"426","TAJO-549","0.8.0"
"427","TAJO-548","0.8.0"
"428","TAJO-545","0.8.0"
"429","TAJO-544","0.8.0"
"430","TAJO-543","0.8.0"
"431","TAJO-541","0.8.0"
"432","TAJO-539","0.8.0"
"433","TAJO-538","0.8.0"
"434","TAJO-537","0.8.0"
"435","TAJO-536","0.8.0"
"436","TAJO-535","0.8.0"
"437","TAJO-532","0.8.0"
"438","TAJO-531","0.8.0"
"439","TAJO-530","0.8.0"
"440","TAJO-529","0.8.0"
"441","TAJO-529","0.9.0"
"442","TAJO-526","0.8.0"
"443","TAJO-525","0.8.0"
"444","TAJO-522","0.8.0"
"445","TAJO-520","0.8.0"
"446","TAJO-519","0.8.0"
"447","TAJO-518","0.8.0"
"448","TAJO-517","0.8.0"
"449","TAJO-517","0.9.0"
"450","TAJO-516","0.8.0"
"451","TAJO-515","0.8.0"
"452","TAJO-513","0.8.0"
"453","TAJO-512","0.8.0"
"454","TAJO-511","0.8.0"
"455","TAJO-508","0.8.0"
"456","TAJO-507","0.8.0"
"457","TAJO-506","0.8.0"
"458","TAJO-504","0.8.0"
"459","TAJO-503","0.8.0"
"460","TAJO-502","0.8.0"
"461","TAJO-501","0.8.0"
"462","TAJO-500","0.8.0"
"463","TAJO-499","0.8.0"
"464","TAJO-498","0.8.0"
"465","TAJO-497","0.8.0"
"466","TAJO-496","0.8.0"
"467","TAJO-495","0.8.0"
"468","TAJO-493","0.8.0"
"469","TAJO-492","0.8.0"
"470","TAJO-490","0.8.0"
"471","TAJO-488","0.8.0"
"472","TAJO-485","0.8.0"
"473","TAJO-482","0.8.0"
"474","TAJO-480","0.8.0"
"475","TAJO-480","0.9.0"
"476","TAJO-479","0.8.0"
"477","TAJO-478","0.8.0"
"478","TAJO-477","0.8.0"
"479","TAJO-476","0.8.0"
"480","TAJO-475","0.8.0"
"481","TAJO-474","0.8.0"
"482","TAJO-471","0.8.0"
"483","TAJO-470","0.8.0"
"484","TAJO-469","0.8.0"
"485","TAJO-468","0.8.0"
"486","TAJO-467","0.8.0"
"487","TAJO-464","0.8.0"
"488","TAJO-460","0.8.0"
"489","TAJO-458","0.8.0"
"490","TAJO-457","0.8.0"
"491","TAJO-456","0.8.0"
"492","TAJO-455","0.8.0"
"493","TAJO-454","0.8.0"
"494","TAJO-453","0.8.0"
"495","TAJO-452","0.8.0"
"496","TAJO-451","0.8.0"
"497","TAJO-450","0.8.0"
"498","TAJO-449","0.8.0"
"499","TAJO-448","0.8.0"
"500","TAJO-445","0.8.0"
"501","TAJO-444","0.8.0"
"502","TAJO-443","0.8.0"
"503","TAJO-442","0.8.0"
"504","TAJO-439","0.8.0"
"505","TAJO-438","0.8.0"
"506","TAJO-437","0.8.0"
"507","TAJO-436","0.8.0"
"508","TAJO-435","0.8.0"
"509","TAJO-433","0.8.0"
"510","TAJO-432","0.8.0"
"511","TAJO-431","0.8.0"
"512","TAJO-428","0.8.0"
